,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Invoice,,11/11/2024,,AS010346,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"646,640.00",,"646,640.00",,0.00,,,,,,0.00
,,,,Invoice,,11/18/2024,,AS010354,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"933,380.00",,"1,580,020.00",,0.00,,,,,,0.00
,,,,Payment,,12/20/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-646,640.00",,"933,380.00",,0.00,,,,,,0.00
,,,,Payment,,12/24/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-933,380.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/17/2025,,AS010435,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"416,540.00",,"416,540.00",,0.00,,,,,,0.00
,,,,Payment,,02/21/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-416,540.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/11/2025,,AS010523,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"174,640.00",,"174,640.00",,0.00,,,,,,0.00
,,,,Payment,,04/24/2025,,online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-174,640.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/29/2025,,AS010587,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"406,215.00",,"406,215.00",,0.00,,,,,,0.00
,,,,Invoice,,05/07/2025,,AS010594,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"183,513.60",,"589,728.60",,0.00,,,,,,0.00
,,,,Payment,,06/16/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-406,215.00",,"183,513.60",,0.00,,,,,,0.00
,,,,Invoice,,06/30/2025,,AS010677,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,155,323.25",,"1,338,836.85",,0.00,,,,,,0.00
,,,,Payment,,07/07/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-183,513.60",,"1,155,323.25",,0.00,,,,,,0.00
,,,,Invoice,,07/17/2025,,AS010712,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"769,419.00",,"1,924,742.25",,0.00,,,,,,0.00
,,,,Payment,,08/05/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-1,155,323.25",,"769,419.00",,0.00,,,,,,0.00
,,,,Payment,,08/21/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-769,419.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/04/2025,,AS010790,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"304,661.25",,"304,661.25",,0.00,,,,,,0.00
,,,,Invoice,,09/15/2025,,AS010805,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"3,634,429.50",,"3,939,090.75",,0.00,,,,,,0.00
,,,,Invoice,,09/25/2025,,AS010826,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"946,242.00",,"4,885,332.75",,0.00,,,,,,0.00
,,,,Payment,,10/20/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-3,939,090.75",,"946,242.00",,0.00,,,,,,0.00
,,,,Payment,,10/29/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-946,242.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/19/2025,,AS010976,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"954,605.25",,"954,605.25",,0.00,,,,,,0.00
,,,,Invoice,,01/05/2026,,AS010997,,,,,,Accounts Receivable,,,,A,,Paid,,,,,,,,"740,745.00",,"1,695,350.25",,0.00,,,,,,0.00
